Model,MAE,RMSE,R2
Linear Regression,2734240.911033965,3947113.0359681775,0.7168831767459516
Random Forest,2453098.073438169,3638489.9557210654,0.7594258777874845
XGBoost,2451383.25,3628948.8020284884,0.7606859803199768
