id,name,price,price_text,original_price,discount_percentage,rating,shop_name,shop_city,shop_tier,badge,labels,image_url,product_url
102252755112,"LAPTOP ACER ASPIRE LITE AL14-32P : INTEL N150/ 8GB DDR5/ 512GB /WUXGA 14"" IPS/ W11 OHS24 COPILOT KEY",5349000,Rp5.349.000,,0,5.0,mdpsuperstore,Palembang,2,Palembang,3 terjual; Campaign,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ce9bb70491fa4788a065389f5d4aea29~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=aC8MT5CcETm7pIetl%2F5%2FBmLY1YQ%3D&x-signature-webp=D8BsSCj9P06uKBiW5L1pXJOcNZQ%3D,https://www.tokopedia.com/mdpsuperstore/laptop-acer-aspire-lite-al14-32p-intel-n150-8gb-ddr5-512gb-wuxga-14-ips-w11-ohs24-copilot-key-1732516056662836667?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch
102231397091,"Laptop Lenovo IdeaPad Slim 3 14IRH10 3NID Intel Core i5 13420H 8GB 512GB 14"" WUXGA IPS W11+OHS24",8599000,Rp8.599.000,,0,5.0,Starcomp Semarang,Semarang,2,Semarang,1 terjual; Campaign,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/723723b4287e4d41883b83be1c290a46~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=LNAtpd1KYna%2F21KInVwp%2B3MpLT0%3D&x-signature-webp=zgL%2B7vjgtclTz2ZeN8713A1I6oo%3D,https://www.tokopedia.com/starcomp-semarang/laptop-lenovo-ideapad-slim-3-14irh10-3nid-intel-core-i5-13420h-8gb-512gb-14-wuxga-ips-w11-ohs24-1732464976505571050?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch
102298229731,"Laptop Lenovo IdeaPad Slim 3 14IAU7 GCID Intel Core i3 1215U 8GB 256GB 14"" FHD W11+OHS21",5749000,Rp5.749.000,,0,5.0,Starcomp Semarang,Semarang,2,Semarang,2 terjual; Campaign,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/978efe8f89604214a3766c6d806dd28c~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=VGITCeo%2Bc5rT6RSqQaRQGVKlV1Q%3D&x-signature-webp=sHMCo740Y%2FRhXEMJzLLKsxLFOCo%3D,https://www.tokopedia.com/starcomp-semarang/laptop-lenovo-ideapad-slim-3-14iau7-gcid-intel-core-i3-1215u-8gb-256gb-14-fhd-w11-ohs21-1732583020968773354?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch
100780129365,"Acer Laptop AL14-32P-C9VS Intel N150 8GB 512GB 14"" W11",5099000,Rp5.099.000,,0,5.0,MyHartono,Surabaya,2,Surabaya,4 terjual; Campaign,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/7ca4800e7e754e75a1ababee57f0c9b2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=fn0dzeVnvidB6Cek62YBXS5HIyk%3D&x-signature-webp=NlrzgcuVyr5E5z05YSUC1n22EF0%3D,https://www.tokopedia.com/myhartono/acer-laptop-al14-32p-c9vs-intel-n150-8gb-512gb-14-w11-1731955593981298029?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch%26whid%3D18738107
100780129080,"Acer Laptop Nitro ANV16-71-79NR Intel Core i7-14650HX 16GB 512GB 16"" W11",16499000,Rp16.499.000,,0,5.0,MyHartono,Surabaya,2,Surabaya,1 terjual; Campaign,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/03dbfef9abc34dfe9697e2b37f38cfb8~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=BfIo1j5EEGe5S1AIRYLv5zl3WfM%3D&x-signature-webp=BYL7yJ9oTtoCNNDD5ydi9B6pUFA%3D,https://www.tokopedia.com/myhartono/acer-laptop-nitro-anv16-71-79nr-intel-core-i7-14650hx-16gb-512gb-16-w11-1731955738030867821?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch%26whid%3D18738137
16138394669,Laptop HP VICTUS 15 Core i5 13420H RTX3050 6GB/ 16GB 512GB W11+OHS 15.6FHD IPS 144HZ BLIT 2Y+ADP SLV -FA2716TX,11289000,Rp11.289.000,Rp14.000.000,0,5.0,AGRES - HP Authorized,Jakarta Utara,2,Jakarta Utara,7 terjual; Campaign; 19%,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/1/28/f8709411-0960-4d33-977a-143e8f5cf57c.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=zK3IBy%2Bm5Ioq9FEbgYytgQH5jdo%3D&x-signature-webp=WfcSjcyedUZbknVqjfwtjwocjUU%3D,https://www.tokopedia.com/agreshpauthorized/laptop-hp-victus-15-core-i5-13420h-rtx3050-6gb-16gb-512gb-w11-ohs-15-6fhd-ips-144hz-blit-2y-adp-slv-fa2716tx-1730822508962546850?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch
102528325519,Asus Laptop TUF A16 FA607NUG Ryzen 7 7445HS RTX4050 6GB 32GB 1TB Windows 11 Garansi 1 Tahun,14249000,Rp14.249.000,,0,5.0,Ten Com,Jakarta Selatan,2,Jakarta Selatan,10 terjual; Campaign,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/58371a7df3ca4eb6afa8caa69f7df93b~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=zMf1FND8ccu7tEGvFXshM3PagsI%3D&x-signature-webp=7Y7yhL0O6LoApxCFYqKYyf80K%2Bo%3D,https://www.tokopedia.com/ten-com/asus-laptop-tuf-a16-fa607nug-ryzen-7-7445hs-rtx4050-6gb-32gb-1tb-windows-11-garansi-1-tahun-1733106056603337991?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch
102403618279,ASUS VIVOBOOK X1404VA INTEL CORE I7 1355 I5 1335 I5 1334 16GB 512GB W11 OFFICE 14.0FHD IPS LAPTOP ULTRABOOK Laptop Tipis & Nyaman untuk Kerja & Kuliah,7789000,Rp7.789.000,Rp11.999.000,0,5.0,royalltech,Jakarta Utara,2,Jakarta Utara,60+ terjual; Campaign; 35%,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/1f52c929a7754ed4aacff0b2d2a0aaa2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875067&x-signature=DH%2FEPThumxhpAAKqbkef8IDK5J8%3D&x-signature-webp=2xOx6x76B4F1qZELOL1c2phiYJA%3D,https://www.tokopedia.com/royalltech/asus-vivobook-x1404va-intel-core-i7-1355-i5-1335-i5-1334-16gb-512gb-w11-office-14-0fhd-ips-laptop-ultrabook-laptop-tipis-nyaman-untuk-kerja-kuliah-1732832432834512375?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20251204180427B83AAC23B952871A1UF4%26src%3Dsearch%26whid%3D4029903
102631381862,"Laptop Lenovo Ideapad Slim 3 14 Ryzen 3 7320 8GB 512GB W11 OHS 14"" FHD",6189000,Rp6.189.000,Rp8.999.000,0,5.0,royalltech,Jakarta Utara,2,Jakarta Utara,7 terjual; Campaign; 31%,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/01b609b86b9b419faf8a5505b99faef4~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875071&x-signature=dz1PUTfV%2B8cySHXRJbxFrDt9avo%3D&x-signature-webp=iZb%2FxdMW53MAJ9wDHdun1ON6bHw%3D,https://www.tokopedia.com/royalltech/laptop-lenovo-ideapad-slim-3-14-ryzen-3-7320-8gb-512gb-w11-ohs-14-fhd-1733399540251657719?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26src%3Dsearch
102588566035,LENOVO PRO 5 16 OLED TOUCH  INTEL ULTRA 9 185H RTX4050 6GB/ 32GB 1TB W11 16.0QHD LAPTOP GAMING TOUCH SCREEN,18989000,Rp18.989.000,Rp21.999.000,0,4.9,royalltech,Jakarta Utara,2,Jakarta Utara,100+ terjual; Campaign; 14%,https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ac5b2167fce142a287f792e628a850b2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=a74d0a5d&x-expires=1764875071&x-signature=hbIJO7HnaJJcSYdhN6FfqyibKF4%3D&x-signature-webp=F4ZzdwE33TC8Gvuiex6EQH9QTHY%3D,https://www.tokopedia.com/royalltech/lenovo-pro-5-16-oled-touch-intel-ultra-9-185h-rtx4050-6gb-32gb-1tb-w11-16-0qhd-laptop-gaming-touch-screen-1733282678993290743?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26src%3Dsearch
